EntryDateTime,TagTime,EntryDate,NextGateTime,Time_In_Zone,EventType,EmpID,Gate,Area,BusinessSection,Shift,EmployeeDateEvents,ShKey,TransformTimestamp
2021-01-07 06:43:56,2021-01-07 06:43:56,2021-01-07,2021-01-07 07:07:37,0.3947222222222222,Entry,3427,Perimeter,Surface Changehouses,Surface,Day,34272021-01-07 06:43:56,07012021P1,2025-09-11 07:19:38.07883
2021-01-07 06:43:56,2021-01-07 07:07:37,2021-01-07,2021-01-07 08:24:13,1.2766666666666666,Entry,3427,Deployment,Deployment Area,Surface,Day,34272021-01-07 06:43:56,07012021P1,2025-09-11 07:19:38.07883
2021-01-07 06:43:56,2021-01-07 08:24:13,2021-01-07,2021-01-07 17:50:36,9.439722222222223,Entry,3427,Cage,Underground,Underground2,Day,34272021-01-07 06:43:56,07012021P1,2025-09-11 07:19:38.07883
2021-01-07 06:43:56,2021-01-07 17:50:36,2021-01-07,2021-01-07 18:51:39,1.0175,Entry,3427,Deployment,Deployment Area,Surface,Day,34272021-01-07 06:43:56,07012021P1,2025-09-11 07:19:38.07883
2021-01-07 06:43:56,2021-01-07 18:51:39,2021-01-07,2021-01-08 06:40:20,,Exit,3427,Perimeter,outside the system,Surface,Day,34272021-01-07 06:43:56,07012021P1,2025-09-11 07:19:38.07883
2021-01-08 06:40:20,2021-01-08 06:40:20,2021-01-08,2021-01-08 07:10:33,0.5036111111111111,Entry,3427,Perimeter,Surface Changehouses,Surface,Day,34272021-01-08 06:40:20,08012021P1,2025-09-11 07:19:38.07883
2021-01-08 06:40:20,2021-01-08 07:10:33,2021-01-08,2021-01-08 08:21:20,1.1797222222222221,Entry,3427,Deployment,Deployment Area,Surface,Day,34272021-01-08 06:40:20,08012021P1,2025-09-11 07:19:38.07883
2021-01-08 06:40:20,2021-01-08 08:21:20,2021-01-08,2021-01-08 17:44:54,9.392777777777777,Entry,3427,Cage,Underground,Underground2,Day,34272021-01-08 06:40:20,08012021P1,2025-09-11 07:19:38.07883
2021-01-08 06:40:20,2021-01-08 17:44:54,2021-01-08,2021-01-08 18:53:45,1.1475,Entry,3427,Deployment,Deployment Area,Surface,Day,34272021-01-08 06:40:20,08012021P1,2025-09-11 07:19:38.07883
2021-01-08 06:40:20,2021-01-08 18:53:45,2021-01-08,2021-01-09 06:33:45,,Exit,3427,Perimeter,outside the system,Surface,Day,34272021-01-08 06:40:20,08012021P1,2025-09-11 07:19:38.07883
2021-01-09 06:33:45,2021-01-09 06:33:45,2021-01-09,2021-01-09 07:17:45,0.7333333333333333,Entry,3427,Perimeter,Surface Changehouses,Surface,Day,34272021-01-09 06:33:45,09012021P1,2025-09-11 07:19:38.07883
2021-01-09 06:33:45,2021-01-09 07:17:45,2021-01-09,2021-01-09 08:27:47,1.1672222222222222,Entry,3427,Deployment,Deployment Area,Surface,Day,34272021-01-09 06:33:45,09012021P1,2025-09-11 07:19:38.07883
2021-01-09 06:33:45,2021-01-09 08:27:47,2021-01-09,2021-01-09 17:34:41,9.115,Entry,3427,Cage,Underground,Underground2,Day,34272021-01-09 06:33:45,09012021P1,2025-09-11 07:19:38.07883
2021-01-09 06:33:45,2021-01-09 17:34:41,2021-01-09,2021-01-09 18:53:51,1.3194444444444444,Entry,3427,Deployment,Deployment Area,Surface,Day,34272021-01-09 06:33:45,09012021P1,2025-09-11 07:19:38.07883
